	date	air_hum	air_hum_min	air_hum_max	air_temp	air_temp_min	air_temp_max	pluvm	down_mildew	powdery_mildew	botrytis	erysiphe
3547	1/1/2021	71.53315901	52.4	85.8	16.489127182	12.34	15.86	0.00321506	0	0	0	0
1418	1/1/2021	80.05047761	56.5	94.3	15.161662432	10.43	23.08	4.452e-06	0	0	0	0
1953	1/1/2021	66.65416497	47.8	89.1	8.741402658	2.11	14.97	0.000166446	0	0	0	0
4559	1/1/2021	75.34679807	61.2	87.9	8.814164288	3.4	14.62	0.000648122	0	0	0	0
1677	1/1/2022	88.83060434	64.7	96.7	6.72846533	-0.38	10.19	0.000351063	0	0	0	0
2431	1/1/2022	46.87274803	29.0	69.7	24.15573092	16.87	33.06	0.015573938	0	1	0	0
3847	1/1/2022	53.69930297	31.3	79.8	18.742918812	7.96	28.77	0.001052094	0	0	0	0
4270	1/1/2022	58.53441485	25.6	85.2	25.444983083	17.46	35.87	0.001098005	0	0	0	0
5121	1/1/2023	71.85339775	48.1	87.8	13.581078829	9.27	18.09	0.002780557	0	0	0	0
1256	1/1/2023	86.40547221	68.0	92.7	14.891726519	10.53	18.45	0.004096039	0	0	0	0
415	1/1/2023	81.25709967	58.9	91.5	6.981209203	4.96	11.56	6.4778e-05	0	1	0	0
2818	1/1/2023	93.59117985	75.1	97.4	9.456902495	6.39	14.03	0.120603497	1	0	0	0
2342	1/1/2023	74.81203824	50.4	91.9	8.435553719	1.32	18.52	0.0	0	0	0	0
5299	1/1/2023	80.75089717	63.2	92.8	3.256452373	-1.0	8.22	0.058883565	0	0	0	0
3396	1/1/2024	79.53522799	69.6	89.4	18.76909772	13.35	27.5	0.000625534	0	0	1	0
3477	1/1/2024	58.76413649	34.6	78.6	28.247956395	20.49	37.37	0.000167249	0	0	0	0
1726	1/1/2024	68.3241601	49.6	91.3	21.939137431	15.42	29.95	0.003379597	0	0	0	0
541	1/1/2024	59.13361241	42.5	80.5	13.134598553	9.59	14.89	0.001667086	0	0	0	0
5671	1/10/2021	93.70705022	84.0	96.0	2.990977599	-0.84	7.83	0.015921129	0	0	0	0
3455	1/10/2021	85.22339958	64.2	96.5	15.975830268	10.13	20.89	0.00015365	0	0	0	0
5141	1/10/2021	74.40543098	49.3	88.9	7.546750282	0.4	16.04	0.006096552	0	0	0	0
1445	1/10/2021	73.90524574	38.1	89.6	14.748537831	4.39	23.53	0.00016733	1	0	0	0
