	date	air_hum	air_hum_min	air_hum_max	air_temp	air_temp_min	air_temp_max	pluvm	down_mildew	powdery_mildew	botrytis	erysiphe
0	1/1/2024	86.02291667	75.5	91.6	8.908125	3.82	13.23	0.029166667	0	0	0	0
1	1/2/2024	90.75833333	73.3	95.4	7.589166667	5.19	13.26	0.005555556	0	0	0	0
2	1/3/2024	87.984375	76.4	92.8	6.92296875	4.34	12.16	0	0	0	0	0
3	1/4/2024	77.76029412	53.4	94	9.914411765	3.03	18.17	0.005882353	0	0	0	0
4	1/5/2024	86.52096774	62.5	92.2	7.488709677	3.17	13.02	0.003225806	0	0	0	0
5	1/6/2024	93.48	92.3	94.2	7.628	6.66	9.64	0.293333333	0	0	0	0
6	1/7/2024	92.77323944	92.1	93.3	7.543380282	7.19	8.15	0.571830986	0	0	0	0
7	1/8/2024	92.54545455	89.1	94.4	7.033818182	4.38	8.81	0.047272727	0	0	0	0
8	1/9/2024	85.01186441	80.1	91.3	5.033050847	3.21	6.53	0	0	0	0	0
9	1/10/2024	78.3119403	75.4	82	3.249253731	2.47	4.21	0	0	0	0	0
10	1/11/2024	74.34615385	64.1	84.1	3.223076923	-0.16	7.2	0	0	0	0	0
11	1/12/2024	78.91	64.6	84.9	2.427571429	-0.95	8.78	0	0	0	0	0
12	1/13/2024	81.69705882	69.7	87.5	2.337058824	-1.71	7.89	0	0	0	0	0
13	1/14/2024	89.04615385	85.9	91.5	1.351538462	-3.05	4.72	0	0	0	0	0
14	1/17/2024	89.46111111	86.2	92.6	4.245833333	3.85	5.45	0.105555556	0	0	0	0
15	1/18/2024	90.2047619	81.3	94	5.463968254	2.88	10.27	0.00952381	0	0	0	0
16	1/19/2024	93.91363636	91.8	95.1	4.673787879	3.18	7.25	0.096969697	0	0	0	0
17	1/20/2024	72.44202899	56.8	93.5	3.165507246	0.35	7.16	0	0	0	0	0
18	1/21/2024	64.97205882	41.8	74.4	2.095	-1.51	9.06	0	0	0	0	0
19	1/22/2024	61.68507463	43	73.9	2.165074627	-3.14	9.44	0	0	0	0	0
20	1/23/2024	71.27424242	57	84.5	5.243181818	0.46	11.37	0	0	0	0	0
21	1/24/2024	81.81969697	70.4	87.5	3.244848485	-0.85	8.99	0	0	0	0	0
22	1/25/2024	84.96567164	71.1	91.1	4.15	-0.79	12.2	0	0	0	0	0
23	1/26/2024	88.01343284	79	92.9	3.93	-0.68	10.05	0.002985075	0	0	0	0
24	1/27/2024	86.05217391	71.2	92.5	5.734492754	0.19	13.35	0.002898551	0	0	0	0
25	1/28/2024	94.1704918	92.6	95	2.404262295	0.02	5.14	0.006557377	0	0	0	0
26	1/29/2024	93.98730159	88.9	95.6	1.062698413	-2.56	6.79	0	0	0	0	0
27	1/30/2024	87.10163934	70.3	94.7	1.454918033	-6.01	9.89	0.003278689	0	0	0	0
28	1/31/2024	75.8	51.2	88.4	4.651884058	0.73	12.64	0	0	0	0	0
